sample ID,depth cm,age cal yrs BP,volume cc,total spike,counted spike,total pollen count,Pandanus echinate,Casuarinaceae,Lith Cast,Poaceae,Phyllocladus,Psilate monolete,Trilete others,Monolete others,Dacrydium,Urt Mor,Celtis Aphananthe,Cyperaceae,Mac Mall,Macaranga,Trema/ Parasponia,Polypodiaceae Davalliaceae type,Engelhardia rigida/serrata,Stemonurus celebicus,Arecaceae other,Unk LL8,Gironniera subaequalis,Acalypha,Podocarpus,Calamus,Weinmannia Caldcluvia prol,Agathis,Weinmannia Caldcluvia squat,Myrtaceae g17,Tetrameles,Myrtaceae -  Syzygium type,Garciniap164ii,Sapotaceae subprolate,Cyathea type,Vatica rassak flavovirens small,Vatica rassak flavovirens big,Saurauia,Elaeocarpus,Chionanthus cf,Erythrospermum/Casearia cf  LL23 LL15,Dipterocarpaceae g25,Santiria,Macadamia erect hildebrandii,Selaginella,type p219 p212,Dipterocarpaceae l22,Rapanea,type 93,Brassicaceae grouped,Nauclea Wendlandia types,Ficus,Pterospermum cf,Dacrycarpus,Comb Mel group,Calophyllum,Ilex,Canarium,Mallotus LL22,Gnetum gnemon,Gynostemma,Pteris Trilete A177 s58 s46,Elaeagnes triflora,type LL27 Sterculiaceae,Oncosperma,type LL19,Ulmus lanceifolia,Pandanus psilate,Hydrocotyle,Stenochlaena,Sapotaceae others,Lycopodium s57,Restionaceae,Adenanthera,Rutaceae type 2 LL21,Zizyphus Nephelium type,Sauropus,Dillenia,Rutaceae type 1,type LL2,c3p0 ret prol,Baccaurea,Haloragaceae other,Trichospermum cf,Ericaceae reticulate,Rotala cf,Myriophyllum,Haloragis micrantha,Solanaceae,Rhizophoraceae 160iii,Nothofagus,p401ii,Asteraceae tub.,Antidesma,Sapium Rutaceae,Begonia,Rhizophoraceae p161,Sterculia foetida,Helicteres,Meliacae,Madhuca type,Cupaniopsis,Ericaceae psilate,Strychnos,Loranthaceae,type LL4 p535,type p377,type LL18,type LL25,Utricularia,Eriocaulon,Drosera,Liliaceae,Mallotus p369,Dipterocarpus verrucosus,Acacia Albizia,Prunus javanica cf,Randia cf,Lophopetalum javanica torricellense,Crypteronia / Astronia,type 69,type LL5,type LL10,type LL11,type LL24,Lamiaceae sf p72,Caryophyllaceae,Plantago,Burmannia cf,Quercus,Blumeodendron endocarpum tokbrai,Hopea gregaria,Shorea teysmanniana,Mimosa,Ardisia type,Verbenaceae p403,Rhus type,Diospyros,Duabanga moluccana,Drimys,Schisandraceaa Kadsura,type p179,p507,type LL1,type LL3,unknown type p396ii,type p305ii,type LL20 C2P2,type P115ii,type LL30,Gonocaryum,l8um c3p3 ret
164,164.5,6483.4,0.40768,23840,182,304,21,11,24,7,43,11,10,11,14,5,5,0,1,3,1,2,10,13,2,4,4,1,0,6,3,6,4,6,1,1,3,1,2,3,5,2,2,3,4,0,2,2,1,2,2,1,0,1,0,0,1,0,0,1,2,2,5,0,0,1,0,2,0,3,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,200.5,7545.3,0.407604,23840,296,335,17,12,39,8,63,26,10,11,13,7,2,2,3,3,3,7,7,8,4,6,4,4,3,8,2,4,1,2,0,0,0,0,2,2,0,0,0,5,0,2,1,2,1,1,3,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
216,216.5,8035.6,0.3953655,0,0,207,17,5,29,4,24,11,4,11,1,3,6,1,3,7,4,5,2,6,7,8,0,1,0,6,12,2,0,6,2,2,0,1,1,0,0,1,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,232.5,8497,0.383127,23840,120,238,45,3,36,4,2,9,4,4,9,6,7,1,8,7,9,1,1,14,3,6,2,3,0,1,0,0,0,8,3,1,1,1,1,3,0,3,1,1,0,0,0,0,0,1,1,0,1,0,0,1,3,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
264,264.5,9614.8,0.572329,23840,109,331,55,13,21,12,5,15,39,13,23,15,5,7,3,5,4,1,2,9,6,1,8,3,1,0,8,0,3,2,1,1,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,300.5,10934.7,0.476679,23840,187,384,46,16,36,15,10,25,25,25,22,1,4,4,7,8,2,7,10,13,2,12,2,1,1,9,5,0,0,4,0,1,2,3,2,8,5,1,0,0,3,2,0,2,2,1,1,1,3,0,6,0,2,1,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,316.5,11519.3,0.483816,23840,130,250,44,19,18,15,3,8,11,13,6,11,10,6,4,3,3,5,1,0,1,0,0,2,3,0,3,3,0,4,5,5,0,1,1,1,0,2,3,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,332.5,11734.2,0.549331,23840,89,243,50,20,12,19,0,11,17,11,12,7,4,5,3,1,5,1,1,0,2,2,10,3,2,1,2,5,2,1,0,2,1,0,1,1,0,3,0,1,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
364,364.5,12684.7,0.570322,23840,160,392,71,35,18,37,4,19,21,9,27,13,12,10,4,7,14,0,1,0,6,2,3,6,4,0,1,0,9,3,3,1,0,3,3,1,1,1,2,0,2,0,2,1,2,0,1,1,0,0,0,1,0,0,2,0,3,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,380.5,12985.2,0.622237,23840,131,323,38,29,15,37,1,10,15,14,13,19,8,7,5,6,8,5,0,0,8,2,0,5,1,0,5,7,1,1,4,1,0,2,4,1,0,3,1,1,1,0,0,1,1,0,0,0,1,3,1,2,1,1,1,1,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,2,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
